algorithm,dataset,extra_final_temperature,extra_generations,extra_iterations,extra_solver_wall_time_s,hard,seed,soft,status,wall_time_ms
TS,medium,,,500,,0,1,0.7991452991452991,OK,209.90089400038414
TS,medium,,,402,,0,2,1.376068376068376,OK,161.3213740001811
TS,medium,,,500,,0,3,0.7991452991452991,OK,203.5548949997974
TS,medium,,,418,,0,4,0.7991452991452991,OK,171.2258929997006
TS,medium,,,312,,0,5,1.376068376068376,OK,131.39106399967204
TS,medium,,,486,,0,1,0.9914529914529915,OK,198.46259999985705
TS,medium,,,402,,0,2,1.376068376068376,OK,177.90030200012552
TS,medium,,,500,,0,3,0.7991452991452991,OK,204.57948400007808
TS,medium,,,418,,0,4,0.7991452991452991,OK,168.73382799985848
TS,medium,,,312,,0,5,1.376068376068376,OK,126.78690399980042
TS,medium,,,500,,0,1,0.9914529914529915,OK,205.26972900006513
TS,medium,,,500,,0,2,1.1837606837606838,OK,208.13979199965615
TS,medium,,,412,,0,3,1.376068376068376,OK,170.80318699981945
TS,medium,,,500,,0,4,0.7991452991452991,OK,206.3740210001015
TS,medium,,,446,,0,5,1.376068376068376,OK,183.98774499974024
TS,medium,,,263,,0,1,0.7991452991452991,OK,265.15841299988097
TS,medium,,,351,,0,2,0.7991452991452991,OK,349.6855980001783
TS,medium,,,280,,0,3,0.7991452991452991,OK,275.37476699990293
TS,medium,,,228,,0,4,0.7991452991452991,OK,228.37945200035392
TS,medium,,,261,,0,5,0.7991452991452991,OK,257.74408699999185
TS,medium,,,263,,0,1,0.7991452991452991,OK,257.2957200000019
TS,medium,,,351,,0,2,0.7991452991452991,OK,344.55574100002195
TS,medium,,,280,,0,3,0.7991452991452991,OK,277.33810500012623
TS,medium,,,228,,0,4,0.7991452991452991,OK,226.62346099969
TS,medium,,,261,,0,5,0.7991452991452991,OK,274.1946249998364
TS,medium,,,263,,0,1,0.7991452991452991,OK,265.55263399995965
TS,medium,,,351,,0,2,0.7991452991452991,OK,357.8845880001609
TS,medium,,,280,,0,3,0.7991452991452991,OK,281.4610309997079
TS,medium,,,228,,0,4,0.7991452991452991,OK,238.82190199992692
TS,medium,,,261,,0,5,0.7991452991452991,OK,271.7928050001319
TS,medium,,,186,,0,1,0.9914529914529915,OK,368.3254610000404
TS,medium,,,226,,0,2,0.7991452991452991,OK,439.2498800002613
TS,medium,,,190,,0,3,0.7991452991452991,OK,408.6536000004344
TS,medium,,,243,,0,4,0.7991452991452991,OK,468.7685170001714
TS,medium,,,220,,0,5,0.7991452991452991,OK,432.07258499978707
TS,medium,,,186,,0,1,0.9914529914529915,OK,358.6579050002001
TS,medium,,,226,,0,2,0.7991452991452991,OK,441.0174259996893
TS,medium,,,190,,0,3,0.7991452991452991,OK,372.363580000183
TS,medium,,,243,,0,4,0.7991452991452991,OK,484.2559660000916
TS,medium,,,220,,0,5,0.7991452991452991,OK,430.0674119999712
TS,medium,,,186,,0,1,0.9914529914529915,OK,364.03412999970897
TS,medium,,,226,,0,2,0.7991452991452991,OK,456.41216200010604
TS,medium,,,190,,0,3,0.7991452991452991,OK,379.8734140000306
TS,medium,,,243,,0,4,0.7991452991452991,OK,482.11962599998515
TS,medium,,,220,,0,5,0.7991452991452991,OK,433.7522020000506
GA,medium,,201,,,0,1,8.247863247863249,OK,1498.6575870002525
GA,medium,,201,,,0,2,6.183760683760684,OK,1590.283521999936
GA,medium,,201,,,0,3,8.38888888888889,OK,1491.881953000302
GA,medium,,201,,,0,4,7.722222222222222,OK,1523.6407689999396
GA,medium,,201,,,0,5,8.824786324786325,OK,1517.8543799997897
GA,medium,,201,,,0,1,8.632478632478632,OK,1523.902765999992
GA,medium,,201,,,0,2,10.26068376068376,OK,1496.2291320002805
GA,medium,,201,,,0,3,10.363247863247864,OK,1468.6298669998905
GA,medium,,201,,,0,4,10.747863247863247,OK,1514.3667480001568
GA,medium,,201,,,0,5,9.837606837606836,OK,1499.9783399998705
GA,medium,,201,,,0,1,14.876068376068375,OK,1531.4509039999393
GA,medium,,201,,,0,2,12.324786324786325,OK,1525.0532650002242
GA,medium,,201,,,0,3,10.88888888888889,OK,1544.7420710002007
GA,medium,,201,,,0,4,11.88888888888889,OK,1508.2683199998428
GA,medium,,201,,,0,5,14.876068376068375,OK,1536.4847300002111
GA,medium,,201,,,0,1,6.952991452991453,OK,2996.505958999933
GA,medium,,201,,,0,2,5.17094017094017,OK,3071.1993110003277
GA,medium,,201,,,0,3,6.132478632478632,OK,3078.2185469997785
GA,medium,,201,,,0,4,7.52991452991453,OK,3017.6201660001425
GA,medium,,201,,,0,5,5.9914529914529915,OK,3021.202954999808
GA,medium,,201,,,0,1,8.055555555555555,OK,3054.8492980001356
GA,medium,,201,,,0,2,7.094017094017094,OK,3073.65247000007
GA,medium,,201,,,0,3,7.67094017094017,OK,3040.100519000134
GA,medium,,201,,,0,4,5.799145299145299,OK,3091.6276829998424
GA,medium,,201,,,0,5,7.52991452991453,OK,3032.441110000036
GA,medium,,201,,,0,1,9.068376068376068,OK,3179.219229999944
GA,medium,,201,,,0,2,9.786324786324785,OK,3368.9883769998232
GA,medium,,201,,,0,3,10.363247863247864,OK,3199.032223999893
GA,medium,,201,,,0,4,7.914529914529915,OK,3260.2467550000256
GA,medium,,201,,,0,5,10.747863247863247,OK,3399.8252850001336
GA,medium,,201,,,0,1,4.452991452991453,OK,6530.495924000206
GA,medium,,201,,,0,2,4.260683760683761,OK,6807.428799000263
GA,medium,,201,,,0,3,5.02991452991453,OK,6601.354020000144
GA,medium,,201,,,0,4,3.2991452991452994,OK,6362.621662000038
GA,medium,,201,,,0,5,3.876068376068376,OK,6263.398030999724
GA,medium,,201,,,0,1,5.222222222222222,OK,6514.336907000143
GA,medium,,201,,,0,2,6.952991452991453,OK,6437.7441980000185
GA,medium,,201,,,0,3,6.760683760683761,OK,6454.404453999814
GA,medium,,201,,,0,4,5.363247863247863,OK,6664.553137999974
GA,medium,,201,,,0,5,5.222222222222222,OK,6201.376056999834
GA,medium,,201,,,0,1,7.722222222222222,OK,6687.770933999673
GA,medium,,201,,,0,2,8.055555555555555,OK,6663.896637000107
GA,medium,,201,,,0,3,8.632478632478632,OK,6379.118155000015
GA,medium,,201,,,0,4,8.106837606837606,OK,6643.150930000047
GA,medium,,201,,,0,5,6.3247863247863245,OK,6501.505194999936
SA,medium,0.0009941992838152806,,925,,0,1,4.645299145299146,OK,42.03566700016381
SA,medium,0.0009941992838152806,,926,,0,2,4.978632478632479,OK,42.50215799993384
SA,medium,0.0009941992838152806,,923,,0,3,7.235042735042734,OK,42.26648900021246
SA,medium,0.0009941992838152806,,927,,0,4,3.44017094017094,OK,42.58462400002827
SA,medium,0.0009941992838152806,,924,,0,5,5.9914529914529915,OK,63.05476699981227
SA,medium,0.000997292173096748,,1860,,0,1,2.3376068376068377,OK,93.73645100004069
SA,medium,0.000997292173096748,,1859,,0,2,3.7735042735042734,OK,83.59638000001723
SA,medium,0.000997292173096748,,1846,,0,3,3.44017094017094,OK,83.13412600000447
SA,medium,0.000997292173096748,,1858,,0,4,2.3376068376068377,OK,79.74071900025592
SA,medium,0.000997292173096748,,1852,,0,5,2.3376068376068377,OK,76.71243100003267
SA,medium,0.0009997343363010176,,9296,,0,1,1.1837606837606838,OK,394.2189829999734
