algorithm,dataset,extra_final_temperature,extra_generations,extra_iterations,extra_solver_wall_time_s,hard,seed,soft,status,wall_time_ms
TS,tiny_easy,,,129,,0,1,0.16,OK,76.01677999991807
TS,tiny_easy,,,133,,0,2,0.16,OK,77.73034800084133
TS,tiny_easy,,,136,,0,3,0.16,OK,78.58429000043543
TS,tiny_easy,,,141,,0,4,0.16,OK,80.58603300014511
TS,tiny_easy,,,135,,0,5,0.16,OK,77.0397319993208
TS,tiny_easy,,,180,,0,6,0.16,OK,103.5026769986871
TS,tiny_easy,,,162,,0,7,0.16,OK,95.49929700006032
TS,tiny_easy,,,147,,0,8,0.16,OK,83.95117500003835
TS,tiny_easy,,,134,,0,9,0.16,OK,76.37063099900843
TS,tiny_easy,,,125,,0,10,0.16,OK,72.57076499990944
TS,small_tight,,,137,,0,1,5.614545454545454,OK,64.61254299938446
TS,small_tight,,,120,,0,2,5.614545454545454,OK,58.23401400084549
TS,small_tight,,,127,,0,3,5.614545454545454,OK,59.6914919988194
TS,small_tight,,,120,,0,4,5.614545454545454,OK,57.11301999872376
TS,small_tight,,,108,,0,5,5.614545454545454,OK,51.38987300051667
TS,small_tight,,,114,,0,6,5.614545454545454,OK,54.344090000086
TS,small_tight,,,125,,0,7,5.614545454545454,OK,60.44415999895136
TS,small_tight,,,110,,0,8,5.614545454545454,OK,52.99699200077157
TS,small_tight,,,120,,0,9,5.614545454545454,OK,57.830660000036005
TS,small_tight,,,117,,0,10,5.614545454545454,OK,57.965052999861655
TS,medium,,,263,,0,1,0.7991452991452991,OK,261.6110420003679
TS,medium,,,351,,0,2,0.7991452991452991,OK,344.93781899982423
TS,medium,,,280,,0,3,0.7991452991452991,OK,282.08216600069136
TS,medium,,,228,,0,4,0.7991452991452991,OK,284.2974079994747
TS,medium,,,261,,0,5,0.7991452991452991,OK,276.2773200010997
TS,medium,,,241,,0,6,0.7991452991452991,OK,259.4671250008105
TS,medium,,,239,,0,7,0.9914529914529915,OK,237.3334239982796
TS,medium,,,228,,0,8,0.7991452991452991,OK,236.11986700052512
TS,medium,,,300,,0,9,0.7991452991452991,OK,319.77207000090857
TS,medium,,,302,,0,10,0.7991452991452991,OK,302.1207620004134
TS,large_stress,,,500,,24,1,0.0,OK,815.9961709989147
TS,large_stress,,,500,,24,2,0.0,OK,807.0197769993683
TS,large_stress,,,500,,24,3,0.0,OK,813.2211730007839
TS,large_stress,,,500,,24,4,0.0,OK,813.3003160000953
TS,large_stress,,,500,,24,5,0.09259259259259259,OK,819.4931090001774
TS,large_stress,,,500,,24,6,0.09259259259259259,OK,804.1438959990046
TS,large_stress,,,500,,24,7,0.0,OK,802.2425589988416
TS,large_stress,,,500,,24,8,0.09259259259259259,OK,799.9349479996454
TS,large_stress,,,500,,24,9,0.0,OK,814.8483069999202
TS,large_stress,,,500,,24,10,0.0,OK,796.6801010006748
GA,tiny_easy,,201,,,0,1,0.16,OK,1241.3808450000943
GA,tiny_easy,,201,,,0,2,0.16,OK,1229.7835579993261
GA,tiny_easy,,201,,,0,3,0.16,OK,1256.7080940007145
GA,tiny_easy,,201,,,0,4,0.16,OK,1231.6332850004983
GA,tiny_easy,,201,,,0,5,0.16,OK,1231.5852239989908
GA,tiny_easy,,201,,,0,6,0.16,OK,1229.242756999156
GA,tiny_easy,,201,,,0,7,0.16,OK,1256.0110679987702
GA,tiny_easy,,201,,,0,8,0.16,OK,1221.8645770008152
GA,tiny_easy,,201,,,0,9,0.16,OK,1224.3757739997818
GA,tiny_easy,,201,,,0,10,0.16,OK,1238.83738800032
GA,small_tight,,201,,,0,1,5.614545454545454,OK,1469.9027349997777
GA,small_tight,,201,,,0,2,5.614545454545454,OK,1448.4555380004167
GA,small_tight,,201,,,0,3,5.614545454545454,OK,1463.5000739999668
GA,small_tight,,201,,,0,4,5.614545454545454,OK,1481.7132059997675
GA,small_tight,,201,,,0,5,5.614545454545454,OK,1467.3993390006217
GA,small_tight,,201,,,0,6,5.614545454545454,OK,1471.7021480009862
GA,small_tight,,201,,,0,7,5.614545454545454,OK,1451.1388430000807
GA,small_tight,,201,,,0,8,5.614545454545454,OK,1448.810253999909
GA,small_tight,,201,,,0,9,5.614545454545454,OK,1481.3295919993834
GA,small_tight,,201,,,0,10,5.614545454545454,OK,1443.9893340004346
GA,medium,,201,,,0,1,8.055555555555555,OK,3003.1059659995663
GA,medium,,201,,,0,2,7.094017094017094,OK,3045.0484880002477
GA,medium,,201,,,0,3,7.67094017094017,OK,3091.2595400004648
GA,medium,,201,,,0,4,5.799145299145299,OK,3287.495657999898
GA,medium,,201,,,0,5,7.52991452991453,OK,3261.0227269997267
GA,medium,,201,,,0,6,7.3760683760683765,OK,3077.6249449991155
GA,medium,,201,,,0,7,6.901709401709401,OK,3227.446136999788
GA,medium,,201,,,0,8,8.055555555555555,OK,3300.7229209997604
GA,medium,,201,,,0,9,7.722222222222222,OK,3120.2677489982307
GA,medium,,201,,,0,10,7.863247863247863,OK,3049.568956999792
GA,large_stress,,201,,,24,1,11.814814814814815,OK,5922.2168029991735
GA,large_stress,,201,,,24,2,14.537037037037036,OK,5921.140020000166
GA,large_stress,,201,,,24,3,12.092592592592593,OK,5952.2023600002285
GA,large_stress,,201,,,24,4,11.11111111111111,OK,5989.772078000897
GA,large_stress,,201,,,24,5,11.351851851851853,OK,5934.1601289997925
GA,large_stress,,201,,,24,6,9.351851851851851,OK,5955.164856999545
GA,large_stress,,201,,,24,7,9.407407407407408,OK,5941.039916000591
GA,large_stress,,201,,,24,8,9.722222222222221,OK,5973.859079000249
GA,large_stress,,201,,,24,9,10.88888888888889,OK,5966.772499999934
GA,large_stress,,201,,,24,10,11.203703703703704,OK,5892.034780001268
SA,tiny_easy,0.0009977031292319378,,2217,,0,1,0.16,OK,53.251452000040445
SA,tiny_easy,0.0009977031292319378,,2220,,0,2,0.16,OK,52.16147999999521
SA,tiny_easy,0.0009977031292319378,,2209,,0,3,0.16,OK,51.98276299961435
SA,tiny_easy,0.0009977031292319378,,2231,,0,4,1.271111111111111,OK,54.395137000028626
SA,tiny_easy,0.0009977031292319378,,2224,,0,5,0.16,OK,52.06140300106199
SA,tiny_easy,0.0009977031292319378,,2229,,0,6,0.16,OK,52.97427199911908
SA,tiny_easy,0.0009977031292319378,,2214,,0,7,0.16,OK,55.019416999130044
