algorithm,dataset,gap_to_best_pct,n_runs,soft_max,soft_mean,soft_min,soft_std,success_rate,time_mean_ms,time_std_ms
TS,tiny_easy,0.0,10,0.16,0.16,0.16,0.0,1.0,88.39685389998522,10.74054941881773
TS,small_tight,0.0,10,5.614545454545454,5.614545454545454,5.614545454545454,0.0,1.0,59.73494929994558,6.807113668244346
TS,medium,2.406417112299471,10,0.9914529914529915,0.8183760683760684,0.7991452991452991,0.060813031926315014,1.0,274.72370879991104,40.87087648362616
TS,large_stress,,10,,,,,0.0,827.6599255999372,25.93390643021265
GA,tiny_easy,0.0,10,0.16,0.16,0.16,0.0,1.0,1338.7862566000422,88.08493421027262
GA,small_tight,0.0,10,5.614545454545454,5.614545454545454,5.614545454545454,0.0,1.0,1593.356016799953,57.05195089098213
GA,medium,826.8449197860964,10,8.055555555555555,7.406837606837606,5.799145299145299,0.6809289654376206,1.0,3220.3306515999884,71.94746012153257
GA,large_stress,,10,,,,,0.0,6185.701724799901,177.2878012799252
SA,tiny_easy,138.8888888888889,10,1.271111111111111,0.38222222222222224,0.16,0.4684855792842043,1.0,54.8200397000528,4.08508038302895
SA,small_tight,0.0,10,5.614545454545454,5.614545454545454,5.614545454545454,0.0,1.0,60.75278720004462,7.039107319970896
SA,medium,273.3689839572193,10,4.452991452991453,2.983760683760684,1.9529914529914532,0.7216327944215529,1.0,92.80414249997193,2.6877214060151338
SA,large_stress,,10,,,,,0.0,148.38156439996055,11.042806818677846
CP-SAT,tiny_easy,3.469446951953614e-14,10,0.16000000000000006,0.16000000000000006,0.16000000000000006,0.0,1.0,48.5218170000735,6.004593030437844
CP-SAT,small_tight,0.0,10,5.614545454545454,5.614545454545454,5.614545454545454,0.0,1.0,61.150218199964,5.418627132287117
CP-SAT,medium,0.0,10,0.7991452991452991,0.7991452991452991,0.7991452991452991,0.0,1.0,216.60031970004638,12.293021959231679
CP-SAT,large_stress,,10,,,,,0.0,12.454507799975545,0.4192135980580002
